 "concept" , "prefLabelNl" , "definitionNl" ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-mens-en-leefomgeving" , "mens en aarde (interacties)" , "Ruimtelijke patronen en processen aan het aardoppervlak verklaren als het resultaat van interacties tussen natuurlijke processen onderling, tussen menselijke processen onderling en tussen natuurlijke en menselijke processen." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-mentaal-welbevinden" , "mentaal welbevinden" , "Het mentaal welbevinden opbouwen, onderhouden en versterken." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-ondernemen-en-organisatie" , "onderneming en organisatie" , "De werking van ondernemingen en organisaties en hun maatschappelijke rol duiden." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-onderzoeken" , "onderzoeken en probleemoplossen" , "Een (onderzoeks-)probleem (v)erkennen en een antwoord of oplossing zoeken gebruikmakend van geschikte (leer-)activiteiten, strategieën en tools." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-opportuniteiten-verkennen" , "opportuniteiten verkennen" , "Opportuniteiten zien en verkennen met behulp van een creatief denkproces." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-participatie" , "participatie" , "Actief participeren aan de samenleving, rekening houdend met de rechten en plichten van iedereen binnen de rechtsstaat." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-politiek" , "democratische besluitvorming" , "Democratische besluitvorming op lokaal, nationaal en internationaal niveau duiden" ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-reguleren" , "reguleren van het leren" , "Leeropvattingen, -proces en -resultaten reguleren." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-relaties" , "relaties" , "Interpersoonlijke relaties opbouwen, onderhouden en versterken." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-religie-en-geloof" , "religie en geloof" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-ruimte-en-tijd" , "situeren in ruimte en tijd" , "Personen, plaatsen, patronen en processen situeren op verschillende ruimtelijke schaalniveaus en tijdsschalen." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-ruimtelijk-onderzoek" , "geografische methoden en technieken" , "Geografische methoden en technieken aanwenden om ruimtelijke patronen en processen te onderzoeken." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-samenwerken" , "samenleren" , "Samen het leerproces vormgeven." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-sport-en-beweging" , "sport en beweging" , "Een fysiek actieve levensstijl opbouwen, onderhouden en versterken" ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-stem-onderzoek" , "multi- en interdisciplinaire STEM-vaardigheden" , "Natuurwetenschappelijke, technologische en wiskundige concepten en methoden inzetten om problemen op te lossen en om objecten, systemen en hun interacties te onderzoeken en te begrijpen." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-taal-en-cultuur" , "taal en cultuur (Nederlands)" , "Inzicht hebben in taal, in het bijzonder het Nederlands, als exponent en deel van een cultuur en een maatschappij." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-taalsysteem" , "taalsysteem (Nederlands)" , "Kenmerken en principes van het Nederlands begrijpen om ze in te zetten bij het communiceren." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-technologie-en-technieken" , "technologie en technieken" , "Technische systemen ontwerpen, realiseren, in gebruik nemen en evalueren rekening houdend met fundamentele maatschappelijke, wetenschappelijke en technologische aspecten." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-technologisch-inzicht" , "technologisch inzicht" , "Inzicht ontwikkelen in technische systemen en processen en hun relatie tot verschillende technologische domeinen en tot andere domeinen (wetenschappen, wiskunde …)." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-uitvoeringsanalyse" , "uitvoeringsanalyse" , "De uitvoerbaarheid van ideeën onderzoeken, het inzetten van middelen tegenover doelstellingen afwegen en het gekozen idee realiseren." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-vaktaal" , "vaktaal" , "Domeinspecifieke terminologie, symbolen en voorstellingen hanteren." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-veiligheid" , "veilige levensstijl" , "Een veilige levensstijl realiseren door het correct inschatten van risicofactoren" ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-wiskunde-algebra-analyse" , "algebra, analyse en discrete structuren" , "Inzicht ontwikkelen in en omgaan met relatie en verandering: zoals algebra, analyse en discrete structuren." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-wiskunde-getallenleer" , "getallenleer" , "Inzicht ontwikkelen in en omgaan met getallen en hoeveelheden: getallenleer." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-wiskunde-kansrekenen-statistiek" , "kansrekenen, statistiek" , "Inzicht ontwikkelen in en omgaan met data en onzekerheid: zoals kansrekenen en statistiek." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-wiskunde-meetkunde-en-metend-rekenen" , "meetkunde en metend rekenen" , "Inzicht ontwikkelen in en omgaan met ruimte en vorm: meetkunde en metend rekenen." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-wiskunde-modelleren-en-heuristiek" , "modelleren en problemen oplossen" , "Modelleren en problemen oplossen door analyseren, (de)mathematiseren of aanwenden van heuristieken." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-wiskunde-redeneren" , "redeneren en abstraheren" , "Redeneringen opbouwen en abstraheren rekening houdend met de samenhang en structuur van wiskunde." ,
